*****   .tiff Pages Counter   *****

---> Enter an absolute path to the .tiffs directory or d for default: 

At the folder: /home/miguelf/Dropbox/Scans-BOL/BOL_Review
739196_BOL.tif has 3 pages
726726_BOL.tif has 2 pages
731718_BOL.tif has 2 pages
726070_BOL.tif has 2 pages
678797_BOL.tif has 2 pages
699702_BOL.tif has 1 pages
700454_BOL.tif has 7 pages
708501_BOL.tif has 2 pages
740161_BOL.tif has 2 pages
745623_BOL.tif has 3 pages
746452_BOL.tif has 2 pages
737137_BOL.tif has 2 pages
731727_BOL.tif has 2 pages
742520_BOL.tif has 2 pages
737988_BOL.tif has 4 pages
725820_BOL.tif has 2 pages
556417_BOL.tif has 2 pages
737176_BOL.tif has 2 pages
679292_BOL.tif has 4 pages
726322_BOL.tif has 2 pages
745764_BOL.tif has 2 pages
745826_BOL.tif has 2 pages
740146_BOL.tif has 4 pages
726314_BOL.tif has 2 pages
664529_BOL.tif has 4 pages
657079_BOL.tif has 2 pages
725428_BOL.tif has 4 pages
726627_BOL.tif has 2 pages
731731_BOL.tif has 2 pages
718783_BOL.tif has 2 pages
726520_BOL.tif has 1 pages
679966_BOL.tif has 2 pages
M01617_BOL.tif has 1 pages
694824_BOL.tif has 7 pages
664547_BOL.tif has 9 pages
709059_BOL.tif has 1 pages
622236_BOL.tif has 1 pages
740516_BOL.tif has 2 pages
743093_BOL.tif has 2 pages
738785_BOL.tif has 2 pages
675883_BOL.tif has 2 pages
726310_BOL.tif has 2 pages
630611_BOL.tif has 2 pages
737155_BOL.tif has 2 pages
747087_BOL.tif has 2 pages
745635_BOL.tif has 3 pages
726331_BOL.tif has 2 pages
709655_BOL.tif has 5 pages
740237_BOL.tif has 2 pages
739165_BOL.tif has 1 pages
700516_BOL.tif has 4 pages
669557_BOL.tif has 2 pages
709094_BOL.tif has 2 pages
750283_BOL.tif has 2 pages
743084_BOL.tif has 2 pages
645661_BOL.tif has 11 pages
709056_BOL.tif has 2 pages
675957_BOL.tif has 1 pages
746962_BOL.tif has 2 pages
619815_BOL.tif has 2 pages
739831_BOL.tif has 2 pages
726901_BOL.tif has 2 pages
YY6078_BOL.tif has 6 pages
725932_BOL.tif has 2 pages
556434_BOL.tif has 2 pages
694815_BOL.tif has 5 pages
726644_BOL.tif has 2 pages
718131_BOL.tif has 2 pages
739167_BOL.tif has 2 pages
726505_BOL.tif has 2 pages
745426_BOL.tif has 2 pages
745802_BOL.tif has 1 pages
747549_BOL.tif has 4 pages
668754_BOL.tif has 2 pages
679253_BOL.tif has 1 pages
718539_BOL.tif has 6 pages
647550_BOL.tif has 2 pages
698625_BOL.tif has 5 pages
